video_id,title,channel_title,published_at,view_count,like_count,comment_count,activity,query
Akd_82_Uh-g,Canada vs. United States | Women&#39;s Final | WBUC 2023,Ultiworld - Ultimate Frisbee,2023-11-08T18:24:01Z,5637,46,0,Beach Ultimate,beach ultimate
SkgZQG51cHc,France vs. United States - Mixed SemiFinal - WBUC 2023,World Flying Disc Federation,2024-09-25T21:35:46Z,7756,114,7,Beach Ultimate,beach ultimate
wiz8wZ4lHKU,Ultimate Family Cabana Tour | Royal Caribbean Beach Club Nassau,Jake and Lou Travel Review,2025-12-28T23:52:46Z,4148,13,7,Beach Ultimate,beach ultimate
zjGas1Tfc70,Canada vs. Belgium | Open Pool Play | 2025 World Beach Ultimate Championships,Ultiworld - Ultimate Frisbee,2025-11-17T09:40:08Z,15299,138,3,Beach Ultimate,beach ultimate
bitzFckNHYs,United States vs. Netherlands | Women&#39;s Gold Medal Match | 2025 World Beach Ultimate Championships,Ultiworld - Ultimate Frisbee,2025-11-22T15:48:53Z,13043,73,9,Beach Ultimate,beach ultimate
85x3Y5GoIQY,Watch the World Beach Ultimate Championships on YouTube and Ultiworld.com! #beach #ultimatefrisbee,Ultiworld - Ultimate Frisbee,2025-11-16T15:24:01Z,24261,250,3,Beach Ultimate,beach ultimate
ltTW7jGJde8,Spain vs. Germany | Mixed Semifinal | 2025 Club Championships,Ultiworld - Ultimate Frisbee,2025-11-21T12:01:20Z,12261,118,2,Beach Ultimate,beach ultimate
BgX4J4N_xL0,All Pilipinas Ultimate Goals - Grand Master&#39;s Open Division - Gold Medal Match - 2023 WBUC,Upstream Sports TV,2023-11-05T12:00:10Z,1017,NA,0,Beach Ultimate,beach ultimate
8wHVI396KEk,Canada vs. Netherlands | Women&#39;s Semifinal | 2025 World Beach Ultimate Championships,Ultiworld - Ultimate Frisbee,2025-11-21T14:51:20Z,7280,43,8,Beach Ultimate,beach ultimate
lEaPn8Ys4nY,USA vs. France World Beach Open Division Film Analysis,Ultiworld - Ultimate Frisbee,2025-12-11T18:51:34Z,3332,71,7,Beach Ultimate,beach ultimate
aO206FadVQU,Spain vs. Australia | Open Pool Play | 2025 World Beach Ultimate Championships,Ultiworld - Ultimate Frisbee,2025-11-18T15:32:42Z,7309,73,3,Beach Ultimate,beach ultimate
6G7slq1Gp3I,This is Why we play Beach Ultimate,ulti.TV,2025-02-28T14:00:08Z,5946,135,0,Beach Ultimate,beach ultimate
fb83ysSLSdo,BEST Beach Day Hacks! | HGTV,HGTV,2022-05-24T19:59:32Z,454365,4128,24,Beach Ultimate,beach ultimate
0XvJcTCeRn0,The World Beach Ultimate Championships Are Underway!,Ultiworld - Ultimate Frisbee,2023-11-02T19:14:40Z,6710,121,1,Beach Ultimate,beach ultimate
iOqlD_EwKFQ,Elliot Bonnet 2023 WBUC Great Performance,Ultiworld - Ultimate Frisbee,2025-11-10T14:30:42Z,4713,70,1,Beach Ultimate,beach ultimate
YgaUxFOPpg4,Ultimate Frisbee Top 10 Plays | 2025 UFA season,UFA Ultimate Frisbee Association,2025-08-29T14:47:29Z,454483,2943,76,Beach Ultimate,beach ultimate
HgAMP-jnobI,Japan vs. Portugal | Mixed Pool Play | 2025 World Beach Ultimate Championships,Ultiworld - Ultimate Frisbee,2025-11-16T11:41:39Z,19985,209,11,Beach Ultimate,beach ultimate
5YQqia88YWw,Goaltimate Nationals Highlights Day 1,Ultiworld - Ultimate Frisbee,2025-04-13T02:04:54Z,7571,78,8,Goaltimate,goaltimate
eu_2QceVWAo,Best of Goaltimate Nationals,Ultiworld - Ultimate Frisbee,2026-03-24T19:51:31Z,4524,62,2,Goaltimate,goaltimate
ot6KcUow_Rk,How To Play Goalty - World Goaltimate Association,World Goaltimate Association,2024-01-05T04:04:43Z,2346,36,0,Goaltimate,goaltimate
IagBUUcRqWo,Austin vs. Boston | Men&#39;s Final | 2024 Goaltimate National Championships,Ultiworld - Ultimate Frisbee,2024-04-17T15:45:27Z,12594,88,3,Goaltimate,goaltimate
WCrtZn97GHk,Goalty Screens 101 - Goaltimate Screening Demystified,World Goaltimate Association,2026-01-22T02:12:56Z,81,6,0,Goaltimate,goaltimate
P_HpWz0PObA,Goaltimate Nationals Highlights,Ultiworld - Ultimate Frisbee,2025-04-14T19:52:32Z,30886,438,3,Goaltimate,goaltimate
3KuwVfWj--w,Seattle vs. Boston | Men&#39;s Semifinal | 2024 Goaltimate National Championships,Ultiworld - Ultimate Frisbee,2024-04-17T15:45:32Z,4158,30,1,Goaltimate,goaltimate
7I-GjvGRZXc,"Goaltimate Strategy Part 1: Defensive basics, scoring opportunities.",Disc i,2025-11-16T05:10:46Z,109,0,0,Goaltimate,goaltimate
tEHVq1PeSL4,New Orleans vs. Madison | Woman-Matching Quarterfinal | 2026 Goaltimate Nationals,Ultiworld - Ultimate Frisbee,2026-03-23T04:11:09Z,1261,11,0,Goaltimate,goaltimate
KnmeKUrIy8Y,Boston vs. Austin | Man Matching Final | 2026 Goaltimate Nationals,Ultiworld - Ultimate Frisbee,2026-03-31T16:00:00Z,4317,37,4,Goaltimate,goaltimate
HrjJUHKmS10,Vegas Goaltimate Week One Viva La Hoopas vs La Vig!,Hawaii Goaltimate,2026-01-16T15:33:12Z,262,9,4,Goaltimate,goaltimate
e4FZsUHNHAo,Goaltimate Nationals Highlights Day 2,Ultiworld - Ultimate Frisbee,2025-04-14T19:51:17Z,4518,43,1,Goaltimate,goaltimate
nByyyC2YIEQ,Goaltimate Nationals 2026 - Semis - Scrubs vs Main Branch,Austin Ultimate Frisbee Clips,2026-03-24T12:11:33Z,66,1,0,Goaltimate,goaltimate
8nq-lFkcQw4,How to play Goaltimate (WRSS),quojakevids,2021-09-15T00:29:34Z,383,5,0,Goaltimate,goaltimate
2cV7krfxUpg,Goaltimate Nationals 2025 - SCRUBS vs 303,Austin Ultimate Frisbee Clips,2025-04-13T00:11:10Z,89,0,0,Goaltimate,goaltimate
dmU5aDLP1Ws,Ultimate Goaltimate Championship ALL STAR GAME ft. Rowan McDonnell,Hawaii Goaltimate,2024-02-01T01:33:24Z,1664,25,5,Goaltimate,goaltimate
c1K7gOs8B-s,2024 Goaltimate Nationals Highlights,Ultiworld - Ultimate Frisbee,2024-04-06T17:33:14Z,7299,76,9,Goaltimate,goaltimate
Lf89TsqZXW8,Kansas City vs. Texas | Women&#39;s Final | 2024 Goaltimate National Championships,Ultiworld - Ultimate Frisbee,2024-04-17T15:45:29Z,2121,11,1,Goaltimate,goaltimate
